@relation teste


@attribute questao_0 {'A', 'B', 'C', 'D', '-'}
@attribute questao_1 {'A', 'B', 'C', 'D', '-'}
@attribute questao_2 {'A', 'B', 'C', 'D', '-'}
@attribute questao_3 {'A', 'B', 'C', 'D', '-'}
@attribute questao_4 {'A', 'B', 'C', 'D', '-'}
@attribute questao_5 {'A', 'B', 'C', 'D', '-'}
@attribute questao_6 {'A', 'B', 'C', 'D', '-'}
@attribute questao_7 {'A', 'B', 'C', 'D', '-'}
@attribute questao_8 {'A', 'B', 'C', 'D', '-'}
@attribute questao_9 {'A', 'B', 'C', 'D', '-'}
@attribute questao_10 {'A', 'B', 'C', 'D', '-'}
@attribute questao_11 {'A', 'B', 'C', 'D', '-'}
@attribute questao_12 {'A', 'B', 'C', 'D', '-'}
@attribute questao_13 {'A', 'B', 'C', 'D', '-'}
@attribute questao_14 {'A', 'B', 'C', 'D', '-'}
@attribute questao_15 {'A', 'B', 'C', 'D', '-'}
@attribute questao_16 {'A', 'B', 'C', 'D', '-'}
@attribute questao_17 {'A', 'B', 'C', 'D', '-'}
@attribute questao_18 {'A', 'B', 'C', 'D', '-'}
@attribute questao_19 {'A', 'B', 'C', 'D', '-'}
@attribute questao_20 {'A', 'B', 'C', 'D', '-'}
@attribute questao_21 {'A', 'B', 'C', 'D', '-'}
@attribute questao_22 {'A', 'B', 'C', 'D', '-'}
@attribute questao_23 {'A', 'B', 'C', 'D', '-'}
@attribute questao_24 {'A', 'B', 'C', 'D', '-'}
@attribute questao_25 {'A', 'B', 'C', 'D', '-'}
@attribute questao_26 {'A', 'B', 'C', 'D', '-'}
@attribute questao_27 {'A', 'B', 'C', 'D', '-'}
@attribute questao_28 {'A', 'B', 'C', 'D', '-'}
@attribute questao_29 {'A', 'B', 'C', 'D', '-'}
@attribute questao_30 {'A', 'B', 'C', 'D', '-'}
@attribute questao_31 {'A', 'B', 'C', 'D', '-'}
@attribute questao_32 {'A', 'B', 'C', 'D', '-'}
@attribute questao_33 {'A', 'B', 'C', 'D', '-'}
@attribute questao_34 {'A', 'B', 'C', 'D', '-'}
@attribute situacao {'fortemente_aprovado', 'fortemente_reprovado'}



@data
'D','C','A','B','C','B','A','A','C','A','C','B','C','A','D','C','C','C','C','A','B','B','A','B','D','B','C','C','C','A','B','B','C','A','A','fortemente_reprovado'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','C','C','B','C','D','D','B','B','B','B','D','A','C','D','A','B','B','B','C','A','A','fortemente_reprovado'
'C','C','C','C','C','A','B','A','D','D','-','B','D','D','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','fortemente_aprovado'
'D','C','B','B','B','B','A','A','A','D','B','B','B','D','C','C','D','D','D','D','A','A','B','B','B','A','C','B','B','B','B','B','C','A','A','fortemente_reprovado'
'C','C','B','B','C','B','B','A','A','D','C','D','B','A','-','-','-','-','-','-','-','-','A','B','B','A','C','B','B','B','B','B','C','A','A','fortemente_aprovado'
'D','D','B','B','C','C','A','B','B','A','A','D','B','A','C','C','B','B','C','D','B','D','A','A','B','B','B','C','B','D','D','D','C','A','A','fortemente_aprovado'
'D','D','C','D','C','C','B','B','A','A','A','A','A','A','-','-','-','-','-','-','-','-','-','B','D','A','C','D','A','B','B','B','-','-','-','fortemente_aprovado'
'-','-','D','D','A','B','C','B','C','C','C','D','C','A','C','C','D','B','C','C','A','C','A','B','B','A','C','B','B','B','B','B','C','A','A','fortemente_reprovado'
'C','C','B','B','C','B','A','A','D','D','C','B','D','A','C','C','B','C','C','A','A','A','A','B','C','A','C','C','B','B','B','B','C','A','A','fortemente_aprovado'
'A','C','B','D','B','B','A','A','D','-','D','A','C','A','D','C','A','C','D','D','B','A','B','B','D','A','C','B','D','B','B','B','C','A','A','fortemente_reprovado'
'C','C','B','B','C','B','B','A','D','D','C','A','-','-','C','C','B','B','D','C','A','C','B','B','C','B','D','A','A','B','C','D','D','A','A','fortemente_aprovado'
'-','-','-','-','-','-','-','-','-','-','A','C','B','D','C','C','D','B','C','D','B','C','A','C','-','A','-','C','A','B','A','B','A','B','B','fortemente_aprovado'
'A','C','C','B','B','B','A','A','A','D','-','B','B','A','B','C','B','B','D','D','D','D','B','B','D','A','C','D','B','B','B','B','C','A','A','fortemente_reprovado'
