@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
13,0,26,0,1,1,0.333333,1,0.666667,0.5,1,1,0.000013
13,0,25,1,0.961538,1,0.342105,1,0.657895,0.509804,0.974359,1.026316,0.000034
13,0,24,2,0.923077,1,0.351351,1,0.648649,0.52,0.948718,1.054054,0.000035
13,0,23,3,0.884615,1,0.361111,1,0.638889,0.530612,0.923077,1.083333,0.000059
12,1,23,3,0.884615,0.923077,0.342857,0.923077,0.657143,0.5,0.897436,1.028571,0.000069
12,1,22,4,0.846154,0.923077,0.352941,0.923077,0.647059,0.510638,0.871795,1.058824,0.000077
12,1,21,5,0.807692,0.923077,0.363636,0.923077,0.636364,0.521739,0.846154,1.090909,0.000216
11,2,21,5,0.807692,0.846154,0.34375,0.846154,0.65625,0.488889,0.820513,1.03125,0.000277
11,2,20,6,0.769231,0.846154,0.354839,0.846154,0.645161,0.5,0.794872,1.064516,0.000357
11,2,19,7,0.730769,0.846154,0.366667,0.846154,0.633333,0.511628,0.769231,1.1,0.000378
11,2,18,8,0.692308,0.846154,0.37931,0.846154,0.62069,0.52381,0.74359,1.137931,0.000566
11,2,17,9,0.653846,0.846154,0.392857,0.846154,0.607143,0.536585,0.717949,1.178571,0.000695
11,2,16,10,0.615385,0.846154,0.407407,0.846154,0.592593,0.55,0.692308,1.222222,0.004323
11,2,15,11,0.576923,0.846154,0.423077,0.846154,0.576923,0.564103,0.666667,1.269231,0.035475
11,2,14,12,0.538462,0.846154,0.44,0.846154,0.56,0.578947,0.641026,1.32,0.065658
11,2,13,13,0.5,0.846154,0.458333,0.846154,0.541667,0.594595,0.615385,1.375,0.12799
11,2,12,14,0.461538,0.846154,0.478261,0.846154,0.521739,0.611111,0.589744,1.434783,0.330721
11,2,11,15,0.423077,0.846154,0.5,0.846154,0.5,0.628571,0.564103,1.5,0.430366
11,2,10,16,0.384615,0.846154,0.52381,0.846154,0.47619,0.647059,0.538462,1.571429,0.812133
11,2,9,17,0.346154,0.846154,0.55,0.846154,0.45,0.666667,0.512821,1.65,0.925476
11,2,8,18,0.307692,0.846154,0.578947,0.846154,0.421053,0.6875,0.487179,1.736842,0.961805
11,2,7,19,0.269231,0.846154,0.611111,0.846154,0.388889,0.709677,0.461538,1.833333,0.983948
11,2,6,20,0.230769,0.846154,0.647059,0.846154,0.352941,0.733333,0.435897,1.941176,0.997572
10,3,6,20,0.230769,0.769231,0.625,0.769231,0.375,0.689655,0.410256,1.875,0.99759
9,4,6,20,0.230769,0.692308,0.6,0.692308,0.4,0.642857,0.384615,1.8,0.997688
9,4,5,21,0.192308,0.692308,0.642857,0.692308,0.357143,0.666667,0.358974,1.928571,0.998618
9,4,4,22,0.153846,0.692308,0.692308,0.692308,0.307692,0.692308,0.333333,2.076923,0.999143
9,4,3,23,0.115385,0.692308,0.75,0.692308,0.25,0.72,0.307692,2.25,0.999562
9,4,2,24,0.076923,0.692308,0.818182,0.692308,0.181818,0.75,0.282051,2.454545,0.999703
9,4,1,25,0.038462,0.692308,0.9,0.692308,0.1,0.782609,0.25641,2.7,0.999718
8,5,1,25,0.038462,0.615385,0.888889,0.615385,0.111111,0.727273,0.230769,2.666667,0.999764
7,6,1,25,0.038462,0.538462,0.875,0.538462,0.125,0.666667,0.205128,2.625,0.999873
2,11,0,26,0,0.153846,1,0.153846,0,0.266667,0.051282,?,0.999891
1,12,0,26,0,0.076923,1,0.076923,0,0.142857,0.025641,?,0.999953
0,13,0,26,0,0,?,0,?,?,0,?,0.999963
