@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0
15,0,28,7,0.8,1,0.348837,1,0.651163,0.517241,0.86,1.162791,0.099535
15,0,27,8,0.771429,1,0.357143,1,0.642857,0.526316,0.84,1.190476,0.146288
15,0,25,10,0.714286,1,0.375,1,0.625,0.545455,0.8,1.25,0.148997
14,1,25,10,0.714286,0.933333,0.358974,0.933333,0.641026,0.518519,0.78,1.196581,0.160411
13,2,25,10,0.714286,0.866667,0.342105,0.866667,0.657895,0.490566,0.76,1.140351,0.162479
13,2,24,11,0.685714,0.866667,0.351351,0.866667,0.648649,0.5,0.74,1.171171,0.176745
13,2,23,12,0.657143,0.866667,0.361111,0.866667,0.638889,0.509804,0.72,1.203704,0.195987
12,3,22,13,0.628571,0.8,0.352941,0.8,0.647059,0.489796,0.68,1.176471,0.235909
12,3,21,14,0.6,0.8,0.363636,0.8,0.636364,0.5,0.66,1.212121,0.259409
12,3,19,16,0.542857,0.8,0.387097,0.8,0.612903,0.521739,0.62,1.290323,0.305058
11,4,19,16,0.542857,0.733333,0.366667,0.733333,0.633333,0.488889,0.6,1.222222,0.315415
11,4,17,18,0.485714,0.733333,0.392857,0.733333,0.607143,0.511628,0.56,1.309524,0.328773
10,5,16,19,0.457143,0.666667,0.384615,0.666667,0.615385,0.487805,0.52,1.282051,0.357498
10,5,15,20,0.428571,0.666667,0.4,0.666667,0.6,0.5,0.5,1.333333,0.358529
9,6,14,21,0.4,0.6,0.391304,0.6,0.608696,0.473684,0.46,1.304348,0.375814
9,6,12,23,0.342857,0.6,0.428571,0.6,0.571429,0.5,0.42,1.428571,0.405499
9,6,11,24,0.314286,0.6,0.45,0.6,0.55,0.514286,0.4,1.5,0.418823
9,6,10,25,0.285714,0.6,0.473684,0.6,0.526316,0.529412,0.38,1.578947,0.423974
9,6,9,26,0.257143,0.6,0.5,0.6,0.5,0.545455,0.36,1.666667,0.430577
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.518883
4,11,5,30,0.142857,0.266667,0.444444,0.266667,0.555556,0.333333,0.18,1.481481,0.528937
4,11,4,31,0.114286,0.266667,0.5,0.266667,0.5,0.347826,0.16,1.666667,0.612797
4,11,3,32,0.085714,0.266667,0.571429,0.266667,0.428571,0.363636,0.14,1.904762,0.653312
3,12,2,33,0.057143,0.2,0.6,0.2,0.4,0.3,0.1,2,0.725193
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.749349
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.77815
1,14,0,35,0,0.066667,1,0.066667,0,0.125,0.02,?,0.94318
0,15,0,35,0,0,?,0,?,?,0,?,0.94319
