@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000048
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.001729
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.012185
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.016954
15,0,31,4,0.885714,1,0.326087,1,0.673913,0.491803,0.92,1.086957,0.023913
15,0,30,5,0.857143,1,0.333333,1,0.666667,0.5,0.9,1.111111,0.050282
15,0,29,6,0.828571,1,0.340909,1,0.659091,0.508475,0.88,1.136364,0.064787
15,0,28,7,0.8,1,0.348837,1,0.651163,0.517241,0.86,1.162791,0.071717
15,0,27,8,0.771429,1,0.357143,1,0.642857,0.526316,0.84,1.190476,0.099742
15,0,26,9,0.742857,1,0.365854,1,0.634146,0.535714,0.82,1.219512,0.125691
15,0,25,10,0.714286,1,0.375,1,0.625,0.545455,0.8,1.25,0.137621
15,0,24,11,0.685714,1,0.384615,1,0.615385,0.555556,0.78,1.282051,0.146884
15,0,23,12,0.657143,1,0.394737,1,0.605263,0.566038,0.76,1.315789,0.158063
15,0,22,13,0.628571,1,0.405405,1,0.594595,0.576923,0.74,1.351351,0.162633
14,1,22,13,0.628571,0.933333,0.388889,0.933333,0.611111,0.54902,0.72,1.296296,0.194176
14,1,21,14,0.6,0.933333,0.4,0.933333,0.6,0.56,0.7,1.333333,0.418852
14,1,20,15,0.571429,0.933333,0.411765,0.933333,0.588235,0.571429,0.68,1.372549,0.425696
9,6,19,16,0.542857,0.6,0.321429,0.6,0.678571,0.418605,0.56,1.071429,0.439215
8,7,19,16,0.542857,0.533333,0.296296,0.533333,0.703704,0.380952,0.54,0.987654,0.440637
7,8,19,16,0.542857,0.466667,0.269231,0.466667,0.730769,0.341463,0.52,0.897436,0.500019
6,9,19,16,0.542857,0.4,0.24,0.4,0.76,0.3,0.5,0.8,0.580604
6,9,18,17,0.514286,0.4,0.25,0.4,0.75,0.307692,0.48,0.833333,0.678191
6,9,17,18,0.485714,0.4,0.26087,0.4,0.73913,0.315789,0.46,0.869565,0.688021
6,9,16,19,0.457143,0.4,0.272727,0.4,0.727273,0.324324,0.44,0.909091,0.711491
6,9,15,20,0.428571,0.4,0.285714,0.4,0.714286,0.333333,0.42,0.952381,0.802593
6,9,14,21,0.4,0.4,0.3,0.4,0.7,0.342857,0.4,1,0.814263
6,9,13,22,0.371429,0.4,0.315789,0.4,0.684211,0.352941,0.38,1.052632,0.814854
6,9,12,23,0.342857,0.4,0.333333,0.4,0.666667,0.363636,0.36,1.111111,0.857935
6,9,11,24,0.314286,0.4,0.352941,0.4,0.647059,0.375,0.34,1.176471,0.863746
6,9,10,25,0.285714,0.4,0.375,0.4,0.625,0.387097,0.32,1.25,0.904278
6,9,9,26,0.257143,0.4,0.4,0.4,0.6,0.4,0.3,1.333333,0.933532
6,9,8,27,0.228571,0.4,0.428571,0.4,0.571429,0.413793,0.28,1.428571,0.940241
6,9,7,28,0.2,0.4,0.461538,0.4,0.538462,0.428571,0.26,1.538462,0.94065
6,9,6,29,0.171429,0.4,0.5,0.4,0.5,0.444444,0.24,1.666667,0.948775
6,9,5,30,0.142857,0.4,0.545455,0.4,0.454545,0.461538,0.22,1.818182,0.957172
6,9,4,31,0.114286,0.4,0.6,0.4,0.4,0.48,0.2,2,0.963512
5,10,4,31,0.114286,0.333333,0.555556,0.333333,0.444444,0.416667,0.18,1.851852,0.978626
4,11,4,31,0.114286,0.266667,0.5,0.266667,0.5,0.347826,0.16,1.666667,0.986339
3,12,4,31,0.114286,0.2,0.428571,0.2,0.571429,0.272727,0.14,1.428571,0.987493
3,12,3,32,0.085714,0.2,0.5,0.2,0.5,0.285714,0.12,1.666667,0.989238
3,12,2,33,0.057143,0.2,0.6,0.2,0.4,0.3,0.1,2,0.989904
2,13,2,33,0.057143,0.133333,0.5,0.133333,0.5,0.210526,0.08,1.666667,0.993902
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.995995
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.998075
1,14,0,35,0,0.066667,1,0.066667,0,0.125,0.02,?,0.999209
0,15,0,35,0,0,?,0,?,?,0,?,0.999219
