@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000838
10,5,33,2,0.942857,0.666667,0.232558,0.666667,0.767442,0.344828,0.86,0.775194,0.001209
10,5,32,3,0.914286,0.666667,0.238095,0.666667,0.761905,0.350877,0.84,0.793651,0.00232
10,5,31,4,0.885714,0.666667,0.243902,0.666667,0.756098,0.357143,0.82,0.813008,0.016457
10,5,30,5,0.857143,0.666667,0.25,0.666667,0.75,0.363636,0.8,0.833333,0.105725
10,5,29,6,0.828571,0.666667,0.25641,0.666667,0.74359,0.37037,0.78,0.854701,0.160043
9,6,29,6,0.828571,0.6,0.236842,0.6,0.763158,0.339623,0.76,0.789474,0.322301
8,7,29,6,0.828571,0.533333,0.216216,0.533333,0.783784,0.307692,0.74,0.720721,0.379649
8,7,28,7,0.8,0.533333,0.222222,0.533333,0.777778,0.313725,0.72,0.740741,0.504618
8,7,27,8,0.771429,0.533333,0.228571,0.533333,0.771429,0.32,0.7,0.761905,0.513163
7,8,27,8,0.771429,0.466667,0.205882,0.466667,0.794118,0.285714,0.68,0.686275,0.523312
7,8,26,9,0.742857,0.466667,0.212121,0.466667,0.787879,0.291667,0.66,0.707071,0.556318
7,8,25,10,0.714286,0.466667,0.21875,0.466667,0.78125,0.297872,0.64,0.729167,0.560436
7,8,24,11,0.685714,0.466667,0.225806,0.466667,0.774194,0.304348,0.62,0.752688,0.564366
6,9,24,11,0.685714,0.4,0.2,0.4,0.8,0.266667,0.6,0.666667,0.602006
6,9,23,12,0.657143,0.4,0.206897,0.4,0.793103,0.272727,0.58,0.689655,0.61291
6,9,22,13,0.628571,0.4,0.214286,0.4,0.785714,0.27907,0.56,0.714286,0.613822
5,10,22,13,0.628571,0.333333,0.185185,0.333333,0.814815,0.238095,0.54,0.617284,0.654095
5,10,21,14,0.6,0.333333,0.192308,0.333333,0.807692,0.243902,0.52,0.641026,0.715363
5,10,20,15,0.571429,0.333333,0.2,0.333333,0.8,0.25,0.5,0.666667,0.717607
5,10,19,16,0.542857,0.333333,0.208333,0.333333,0.791667,0.25641,0.48,0.694444,0.740148
5,10,18,17,0.514286,0.333333,0.217391,0.333333,0.782609,0.263158,0.46,0.724638,0.76017
5,10,17,18,0.485714,0.333333,0.227273,0.333333,0.772727,0.27027,0.44,0.757576,0.778631
5,10,16,19,0.457143,0.333333,0.238095,0.333333,0.761905,0.277778,0.42,0.793651,0.815628
5,10,15,20,0.428571,0.333333,0.25,0.333333,0.75,0.285714,0.4,0.833333,0.819734
5,10,14,21,0.4,0.333333,0.263158,0.333333,0.736842,0.294118,0.38,0.877193,0.822189
5,10,13,22,0.371429,0.333333,0.277778,0.333333,0.722222,0.30303,0.36,0.925926,0.822197
5,10,12,23,0.342857,0.333333,0.294118,0.333333,0.705882,0.3125,0.34,0.980392,0.825954
5,10,11,24,0.314286,0.333333,0.3125,0.333333,0.6875,0.322581,0.32,1.041667,0.827716
4,11,11,24,0.314286,0.266667,0.266667,0.266667,0.733333,0.266667,0.3,0.888889,0.835697
3,12,9,26,0.257143,0.2,0.25,0.2,0.75,0.222222,0.24,0.833333,0.838274
3,12,8,27,0.228571,0.2,0.272727,0.2,0.727273,0.230769,0.22,0.909091,0.84983
2,13,8,27,0.228571,0.133333,0.2,0.133333,0.8,0.16,0.2,0.666667,0.872681
2,13,7,28,0.2,0.133333,0.222222,0.133333,0.777778,0.166667,0.18,0.740741,0.889305
2,13,6,29,0.171429,0.133333,0.25,0.133333,0.75,0.173913,0.16,0.833333,0.91906
1,14,6,29,0.171429,0.066667,0.142857,0.066667,0.857143,0.090909,0.14,0.47619,0.934217
0,15,6,29,0.171429,0,0,0,1,?,0.12,0,0.936316
0,15,5,30,0.142857,0,0,0,1,?,0.1,0,0.950023
0,15,4,31,0.114286,0,0,0,1,?,0.08,0,0.954912
0,15,3,32,0.085714,0,0,0,1,?,0.06,?,0.957933
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.961119
0,15,0,35,0,0,?,0,?,?,0,?,0.961129
