@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000014
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.000015
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.000079
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.000096
14,1,32,3,0.914286,0.933333,0.304348,0.933333,0.695652,0.459016,0.92,1.014493,0.000105
14,1,31,4,0.885714,0.933333,0.311111,0.933333,0.688889,0.466667,0.9,1.037037,0.000114
14,1,30,5,0.857143,0.933333,0.318182,0.933333,0.681818,0.474576,0.88,1.060606,0.000137
14,1,29,6,0.828571,0.933333,0.325581,0.933333,0.674419,0.482759,0.86,1.085271,0.000181
14,1,28,7,0.8,0.933333,0.333333,0.933333,0.666667,0.491228,0.84,1.111111,0.000239
14,1,27,8,0.771429,0.933333,0.341463,0.933333,0.658537,0.5,0.82,1.138211,0.000347
14,1,26,9,0.742857,0.933333,0.35,0.933333,0.65,0.509091,0.8,1.166667,0.000394
14,1,25,10,0.714286,0.933333,0.358974,0.933333,0.641026,0.518519,0.78,1.196581,0.000444
14,1,24,11,0.685714,0.933333,0.368421,0.933333,0.631579,0.528302,0.76,1.22807,0.000568
14,1,23,12,0.657143,0.933333,0.378378,0.933333,0.621622,0.538462,0.74,1.261261,0.00088
14,1,22,13,0.628571,0.933333,0.388889,0.933333,0.611111,0.54902,0.72,1.296296,0.001075
13,2,22,13,0.628571,0.866667,0.371429,0.866667,0.628571,0.52,0.7,1.238095,0.00353
13,2,21,14,0.6,0.866667,0.382353,0.866667,0.617647,0.530612,0.68,1.27451,0.008716
13,2,20,15,0.571429,0.866667,0.393939,0.866667,0.606061,0.541667,0.66,1.313131,0.011087
13,2,19,16,0.542857,0.866667,0.40625,0.866667,0.59375,0.553191,0.64,1.354167,0.016046
13,2,18,17,0.514286,0.866667,0.419355,0.866667,0.580645,0.565217,0.62,1.397849,0.019787
13,2,17,18,0.485714,0.866667,0.433333,0.866667,0.566667,0.577778,0.6,1.444444,0.020948
8,7,16,19,0.457143,0.533333,0.333333,0.533333,0.666667,0.410256,0.48,1.111111,0.030093
8,7,15,20,0.428571,0.533333,0.347826,0.533333,0.652174,0.421053,0.46,1.15942,0.070735
8,7,14,21,0.4,0.533333,0.363636,0.533333,0.636364,0.432432,0.44,1.212121,0.111422
8,7,13,22,0.371429,0.533333,0.380952,0.533333,0.619048,0.444444,0.42,1.269841,0.123713
8,7,12,23,0.342857,0.533333,0.4,0.533333,0.6,0.457143,0.4,1.333333,0.131793
8,7,11,24,0.314286,0.533333,0.421053,0.533333,0.578947,0.470588,0.38,1.403509,0.185053
8,7,10,25,0.285714,0.533333,0.444444,0.533333,0.555556,0.484848,0.36,1.481481,0.233879
8,7,9,26,0.257143,0.533333,0.470588,0.533333,0.529412,0.5,0.34,1.568627,0.286524
8,7,8,27,0.228571,0.533333,0.5,0.533333,0.5,0.516129,0.32,1.666667,0.300164
7,8,8,27,0.228571,0.466667,0.466667,0.466667,0.533333,0.466667,0.3,1.555556,0.654312
7,8,7,28,0.2,0.466667,0.5,0.466667,0.5,0.482759,0.28,1.666667,0.683146
6,9,7,28,0.2,0.4,0.461538,0.4,0.538462,0.428571,0.26,1.538462,0.834261
6,9,6,29,0.171429,0.4,0.5,0.4,0.5,0.444444,0.24,1.666667,0.867795
6,9,5,30,0.142857,0.4,0.545455,0.4,0.454545,0.461538,0.22,1.818182,0.896171
5,10,5,30,0.142857,0.333333,0.5,0.333333,0.5,0.4,0.2,1.666667,0.963412
5,10,4,31,0.114286,0.333333,0.555556,0.333333,0.444444,0.416667,0.18,1.851852,0.987395
5,10,3,32,0.085714,0.333333,0.625,0.333333,0.375,0.434783,0.16,2.083333,0.987423
5,10,2,33,0.057143,0.333333,0.714286,0.333333,0.285714,0.454545,0.14,2.380952,0.989414
4,11,2,33,0.057143,0.266667,0.666667,0.266667,0.333333,0.380952,0.12,2.222222,0.993275
3,12,2,33,0.057143,0.2,0.6,0.2,0.4,0.3,0.1,2,0.994338
3,12,1,34,0.028571,0.2,0.75,0.2,0.25,0.315789,0.08,2.5,0.998102
2,13,1,34,0.028571,0.133333,0.666667,0.133333,0.333333,0.222222,0.06,?,0.999561
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.999587
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.999631
0,15,0,35,0,0,?,0,?,?,0,?,0.999641
